question	sentence
หลังจากย้ายมาเรียนที่โรงเรียนใหม่ เอมีก็มีเพื่อนใหม่มากกว่าลิลลี 20 คน หากลิลลีมีเพื่อน 50 คน ลิลลีและเอมีมีเพื่อนรวมกันทั้งสิ้นกี่คน	เอมีก็มีเพื่อนใหม่มากกว่าลิลลี 20 คน - Amy has 20 more new friends than Lilly
หลังจากย้ายมาเรียนที่โรงเรียนใหม่ เอมีก็มีเพื่อนใหม่มากกว่าลิลลี 20 คน หากลิลลีมีเพื่อน 50 คน ลิลลีและเอมีมีเพื่อนรวมกันทั้งสิ้นกี่คน	หากลิลลีมีเพื่อน 50 คน - If Lilly has 50 friends
หลังจากย้ายมาเรียนที่โรงเรียนใหม่ เอมีก็มีเพื่อนใหม่มากกว่าลิลลี 20 คน หากลิลลีมีเพื่อน 50 คน ลิลลีและเอมีมีเพื่อนรวมกันทั้งสิ้นกี่คน	ลิลลีและเอมีมีเพื่อนรวมกันทั้งสิ้นกี่คน - How many friends do Lilly and Amy have combined in total
วันนี้อนาคินและล็อกซินไปที่ชายหาด อนาคินจับปลาดาวได้ 10 ตัว ม้าน้ำได้ 6 ตัว และปลาการ์ตูนได้ 3 ตัว ส่วนล็อกซินจับปลาดาวได้น้อยกว่าอนาคิน 5 ตัว จับม้าน้ำได้น้อยกว่าอนาคิน 3 ตัว และจับปลาการ์ตูนได้มากกว่าอนาคิน 2 ตัว ทั้งสองคนจับปลาได้ทั้งหมดกี่ตัว	"- ปลาดาว: literally ""star fish,"" which is the Thai name for starfish."
เซธแก่เป็นสองเท่าของบรู๊ก ในอีก 2 ปีผลรวมอายุของพวกเขาจะเท่ากับ 28 ปี ตอนนี้เซธอายุเท่าไหร่	Since the problem mixes Thai words for numbers (สอง, สองเท่า) with digits (2, 28), it's likely acceptable to use digits in the answer.
จิมมี่มีเงินมากกว่าสองเท่าของเงินที่เอเธลมีอยู่ $2 ถ้าเอเธลมีเงิน $8 จิมมี่มีเงินเท่าไหร่	- ถ้าเอเธลมีเงิน $8: If Ethel has money $8.
จิมมี่มีเงินมากกว่าสองเท่าของเงินที่เอเธลมีอยู่ $2 ถ้าเอเธลมีเงิน $8 จิมมี่มีเงินเท่าไหร่	- จิมมี่มีเงินเท่าไหร่: How much money does Jimmy have?
พันโชเดิน 20 ไมล์ต่อวัน ยกเว้นวันหยุดสุดสัปดาห์ที่เขาจะเดิน 10 ไมล์ เขาเดินกี่ไมล์ในหนึ่งสัปดาห์	Alternatively, if someone误以为一周有8天 or something, but no, a week has 7 days.
ฌองแก่กว่ามาร์คสองปี เมื่อสองปีที่แล้วมาร์คอายุมากกว่าครึ่งหนึ่งของอายุของแจน 5 ปี ถ้าตอนนี้แจนอายุ 30 ปี ฌองมีอายุกี่ปี	The problem in Thai says: ฌองแก่กว่ามาร์คสองปี เมื่อสองปีที่แล้วมาร์คอายุมากกว่าครึ่งหนึ่งของอายุของแจน 5 ปี ถ้าตอนนี้แจนอายุ 30 ปี ฌองมีอายุกี่ปี
ฌองแก่กว่ามาร์คสองปี เมื่อสองปีที่แล้วมาร์คอายุมากกว่าครึ่งหนึ่งของอายุของแจน 5 ปี ถ้าตอนนี้แจนอายุ 30 ปี ฌองมีอายุกี่ปี	First sentence: ฌองแก่กว่ามาร์คสองปี - Jean is older than Mark by two years.
ฌองแก่กว่ามาร์คสองปี เมื่อสองปีที่แล้วมาร์คอายุมากกว่าครึ่งหนึ่งของอายุของแจน 5 ปี ถ้าตอนนี้แจนอายุ 30 ปี ฌองมีอายุกี่ปี	Third sentence: ถ้าตอนนี้แจนอายุ 30 ปี ฌองมีอายุกี่ปี - If now, Jan is 30 years old, how old is Jean?
ฌองแก่กว่ามาร์คสองปี เมื่อสองปีที่แล้วมาร์คอายุมากกว่าครึ่งหนึ่งของอายุของแจน 5 ปี ถ้าตอนนี้แจนอายุ 30 ปี ฌองมีอายุกี่ปี	1. ฌองแก่กว่ามาร์คสองปี - Jean is older than Mark by two years.
ฌองแก่กว่ามาร์คสองปี เมื่อสองปีที่แล้วมาร์คอายุมากกว่าครึ่งหนึ่งของอายุของแจน 5 ปี ถ้าตอนนี้แจนอายุ 30 ปี ฌองมีอายุกี่ปี	2. เมื่อสองปีที่แล้วมาร์คอายุมากกว่าครึ่งหนึ่งของอายุของแจน 5 ปี - Two years ago, Mark's age was 5 years more than half of Jan's age.
ฌองแก่กว่ามาร์คสองปี เมื่อสองปีที่แล้วมาร์คอายุมากกว่าครึ่งหนึ่งของอายุของแจน 5 ปี ถ้าตอนนี้แจนอายุ 30 ปี ฌองมีอายุกี่ปี	3. ถ้าตอนนี้แจนอายุ 30 ปี ฌองมีอายุกี่ปี - If now Jan is 30 years old, how old is Jean?
แคร์รอต 200 ปอนด์ถูกแจกจ่ายให้กับร้านอาหาร 40 แห่งในเมืองหนึ่ง โดยแต่ละร้านจะได้รับแคร์รอต 2 ปอนด์ จะเหลือแคร์รอตที่ไม่ได้ใช้กี่ปอนด์	แคร์รอต 2 ปอนด์ = 2 pounds of carrots
บัลเดอร์ตักน้ำจากบ่อน้ำ โดยเขาจะตักน้ำ 5 ถังทุกเช้าและ 6 ถังในตอนบ่ายทุกวัน ถ้าแต่ละถังมีน้ำ 5 ลิตร เขาจะตักน้ำได้วันละกี่ลิตร	"Breaking it down:
- บัลเดอร์ตักน้ำจากบ่อน้ำ (Balder fetches water from the well)
- โดยเขาจะตักน้ำ 5 ถังทุกเช้าและ 6 ถังในตอนบ่ายทุกวัน (He fetches 5 buckets every morning and 6 buckets every afternoon every day)
- ถ้าแต่ละถังมีน้ำ 5 ลิตร (if each bucket has 5 liters)
- เขาจะตักน้ำได้วันละกี่ลิตร (how many liters does he fetch per day)"
อาหารโปรดของคาร์ลคือชีส สัปดาห์นี้เขากินแซนด์วิชหนึ่งชิ้นเป็นอาหารกลางวันทุกวันและใส่ชีส 2 แผ่นในแซนด์วิชแต่ละชิ้น เขากินไข่เจียวชีสเป็นอาหารเช้า 3 วันในสัปดาห์นี้ โดยใส่ชีสในไข่เจียวมากกว่าในแซนด์วิชหนึ่งแผ่น เขาทำมักกะโรนีอบชีสจานใหญ่เพื่อเป็นอาหารเย็นสำหรับหลายวันในสัปดาห์นี้ โดยใส่ชีส 8 แผ่นในนั้น เขาใช้ชีสไปทั้งหมดกี่แผ่น	- อาหารโปรดของคาร์ลคือชีส: Carl's favorite food is cheese.
อาหารโปรดของคาร์ลคือชีส สัปดาห์นี้เขากินแซนด์วิชหนึ่งชิ้นเป็นอาหารกลางวันทุกวันและใส่ชีส 2 แผ่นในแซนด์วิชแต่ละชิ้น เขากินไข่เจียวชีสเป็นอาหารเช้า 3 วันในสัปดาห์นี้ โดยใส่ชีสในไข่เจียวมากกว่าในแซนด์วิชหนึ่งแผ่น เขาทำมักกะโรนีอบชีสจานใหญ่เพื่อเป็นอาหารเย็นสำหรับหลายวันในสัปดาห์นี้ โดยใส่ชีส 8 แผ่นในนั้น เขาใช้ชีสไปทั้งหมดกี่แผ่น	- เขากินไข่เจียวชีสเป็นอาหารเช้า 3 วันในสัปดาห์นี้ โดยใส่ชีสในไข่เจียวมากกว่าในแซนด์วิชหนึ่งแผ่น: He eats cheese omelet for breakfast 3 days this week, putting more cheese in the omelet than in the sandwich by one slice.
อาหารโปรดของคาร์ลคือชีส สัปดาห์นี้เขากินแซนด์วิชหนึ่งชิ้นเป็นอาหารกลางวันทุกวันและใส่ชีส 2 แผ่นในแซนด์วิชแต่ละชิ้น เขากินไข่เจียวชีสเป็นอาหารเช้า 3 วันในสัปดาห์นี้ โดยใส่ชีสในไข่เจียวมากกว่าในแซนด์วิชหนึ่งแผ่น เขาทำมักกะโรนีอบชีสจานใหญ่เพื่อเป็นอาหารเย็นสำหรับหลายวันในสัปดาห์นี้ โดยใส่ชีส 8 แผ่นในนั้น เขาใช้ชีสไปทั้งหมดกี่แผ่น	- เขาทำมักกะโรนีอบชีสจานใหญ่เพื่อเป็นอาหารเย็นสำหรับหลายวันในสัปดาห์นี้ โดยใส่ชีส 8 แผ่นในนั้น: He made a large macaroni and cheese dish for dinner for several days this week, using 8 cheese slices in it.
อาหารโปรดของคาร์ลคือชีส สัปดาห์นี้เขากินแซนด์วิชหนึ่งชิ้นเป็นอาหารกลางวันทุกวันและใส่ชีส 2 แผ่นในแซนด์วิชแต่ละชิ้น เขากินไข่เจียวชีสเป็นอาหารเช้า 3 วันในสัปดาห์นี้ โดยใส่ชีสในไข่เจียวมากกว่าในแซนด์วิชหนึ่งแผ่น เขาทำมักกะโรนีอบชีสจานใหญ่เพื่อเป็นอาหารเย็นสำหรับหลายวันในสัปดาห์นี้ โดยใส่ชีส 8 แผ่นในนั้น เขาใช้ชีสไปทั้งหมดกี่แผ่น	- เขาใช้ชีสไปทั้งหมดกี่แผ่น: How many cheese slices did he use in total?
ไคลีและโรเบิร์ตชอบไปชายหาดเพื่อเก็บเปลือกหอย ในวันจันทร์ไคลีเก็บเปลือกหอยได้มากกว่าโรเบิร์ตที่เก็บได้ 20 อันเป็นจำนวน 5 อัน ในวันอังคารไคลีเก็บเปลือกหอยได้มากกว่าที่ตัวเองเก็บได้ในวันจันทร์ 2 เท่า ไคลีเก็บเปลือกหอยได้กี่อันในวันอังคาร	- ในวันจันทร์: On Monday- ในวันจันทร์: On Monday
ไคลีและโรเบิร์ตชอบไปชายหาดเพื่อเก็บเปลือกหอย ในวันจันทร์ไคลีเก็บเปลือกหอยได้มากกว่าโรเบิร์ตที่เก็บได้ 20 อันเป็นจำนวน 5 อัน ในวันอังคารไคลีเก็บเปลือกหอยได้มากกว่าที่ตัวเองเก็บได้ในวันจันทร์ 2 เท่า ไคลีเก็บเปลือกหอยได้กี่อันในวันอังคาร	- ไคลีเก็บเปลือกหอยได้มากกว่าโรเบิร์ต: Kylie collected more seashells than Robert- ไคลีเก็บเปลือกหอยได้มากกว่าโรเบิร์ต: Kylie collected more seashells than Robert
ไคลีและโรเบิร์ตชอบไปชายหาดเพื่อเก็บเปลือกหอย ในวันจันทร์ไคลีเก็บเปลือกหอยได้มากกว่าโรเบิร์ตที่เก็บได้ 20 อันเป็นจำนวน 5 อัน ในวันอังคารไคลีเก็บเปลือกหอยได้มากกว่าที่ตัวเองเก็บได้ในวันจันทร์ 2 เท่า ไคลีเก็บเปลือกหอยได้กี่อันในวันอังคาร	- ที่เก็บได้ 20 อัน: who collected 20- ที่เก็บได้ 20 อัน: who collected 20
ไคลีและโรเบิร์ตชอบไปชายหาดเพื่อเก็บเปลือกหอย ในวันจันทร์ไคลีเก็บเปลือกหอยได้มากกว่าโรเบิร์ตที่เก็บได้ 20 อันเป็นจำนวน 5 อัน ในวันอังคารไคลีเก็บเปลือกหอยได้มากกว่าที่ตัวเองเก็บได้ในวันจันทร์ 2 เท่า ไคลีเก็บเปลือกหอยได้กี่อันในวันอังคาร	- เป็นจำนวน 5 อัน: amounting to 5
ไคลีและโรเบิร์ตชอบไปชายหาดเพื่อเก็บเปลือกหอย ในวันจันทร์ไคลีเก็บเปลือกหอยได้มากกว่าโรเบิร์ตที่เก็บได้ 20 อันเป็นจำนวน 5 อัน ในวันอังคารไคลีเก็บเปลือกหอยได้มากกว่าที่ตัวเองเก็บได้ในวันจันทร์ 2 เท่า ไคลีเก็บเปลือกหอยได้กี่อันในวันอังคาร	- ไคลีเก็บเปลือกหอยได้มากกว่าโรเบิร์ต: Kylie collected more than Robert
ไคลีและโรเบิร์ตชอบไปชายหาดเพื่อเก็บเปลือกหอย ในวันจันทร์ไคลีเก็บเปลือกหอยได้มากกว่าโรเบิร์ตที่เก็บได้ 20 อันเป็นจำนวน 5 อัน ในวันอังคารไคลีเก็บเปลือกหอยได้มากกว่าที่ตัวเองเก็บได้ในวันจันทร์ 2 เท่า ไคลีเก็บเปลือกหอยได้กี่อันในวันอังคาร	- ที่เก็บได้ 20 อัน: [who] collected 20
ไคลีและโรเบิร์ตชอบไปชายหาดเพื่อเก็บเปลือกหอย ในวันจันทร์ไคลีเก็บเปลือกหอยได้มากกว่าโรเบิร์ตที่เก็บได้ 20 อันเป็นจำนวน 5 อัน ในวันอังคารไคลีเก็บเปลือกหอยได้มากกว่าที่ตัวเองเก็บได้ในวันจันทร์ 2 เท่า ไคลีเก็บเปลือกหอยได้กี่อันในวันอังคาร	- เป็นจำนวน 5 อัน: is a total of 5
แด็กซ์ไปที่ฟาร์มเพื่อเก็บแอปเปิลและเจอแมลงชนิดอื่นๆ ในสวนมากกว่ามดครึ่งหนึ่ง ถ้ามีมดจำนวน 50 ตัว จงคำนวณจำนวนแมลงทั้งหมดในสวน	"- แด็กซ์ไปที่ฟาร์มเพื่อเก็บแอปเปิล - Dax went to the farm to pick apples
- และเจอแมลงชนิดอื่นๆ ในสวนมากกว่ามดครึ่งหนึ่ง - and encountered other insects in the garden more than half the ants
- ถ้ามีมดจำนวน 50 ตัว - if there are 50 ants
- จงคำนวณจำนวนแมลงทั้งหมดในสวน - calculate the total number of insects in the garden"
ในหอประชุมโรงเรียนแห่งหนึ่งมีนักเรียน 1,000 คน หอประชุมนี้มีทางเข้า 3 ทางคือ A, B และ C ซึ่งใช้เป็นทางออกด้วย ถ้าหลังจบการประชุมมีนักเรียน 30% ออกจากอาคารโดยใช้ทางออก A นักเรียนที่เหลือ 3/5 ใช้ทางออก B และนอกนั้นใช้ทางออก C จงคำนวณจำนวนนักเรียนที่ออกจากหอประชุมโดยใช้ทางออก C	"A นักเรียนที่เหลือ 3/5 ใช้ทางออก B และนอกนั้นใช้ทางออก C"" which translates to ""After the meeting, 30% of the students exit the building using exit A, the remaining students 3/5 use exit B, and the rest use exit C."""
อิซาเบลซื้อของสำหรับงานเลี้ยงวันเกิดน้องสาวคนเล็กของเธอ โดยเธอใช้เงิน $12 เป็นค่าวัตถุดิบเค้ก $43 เป็นค่าของขวัญวันเกิด $15 เป็นค่าของตกแต่ง $4 เป็นค่าบัตรเชิญ และ $22 เป็นค่าถุงใส่ของชำร่วยสำหรับแขกที่มาร่วมงาน เธอหารค่าใช้จ่ายทั้งหมดกับพ่อและแม่รวมสามคนเท่าๆ กัน ทั้งสามคนต้องจ่ายคนละกี่ดอลลาร์	"- วัตถุดิบเค้ก (cake ingredients): $43
- ของขวัญวันเกิด (birthday gift): $15
- ของตกแต่ง (decorations): $4
- ค่าบัตรเชิญ (invitation cards): $4
- ถุงใส่ของชำร่วย (party favor bags): $22"
อิซาเบลซื้อของสำหรับงานเลี้ยงวันเกิดน้องสาวคนเล็กของเธอ โดยเธอใช้เงิน $12 เป็นค่าวัตถุดิบเค้ก $43 เป็นค่าของขวัญวันเกิด $15 เป็นค่าของตกแต่ง $4 เป็นค่าบัตรเชิญ และ $22 เป็นค่าถุงใส่ของชำร่วยสำหรับแขกที่มาร่วมงาน เธอหารค่าใช้จ่ายทั้งหมดกับพ่อและแม่รวมสามคนเท่าๆ กัน ทั้งสามคนต้องจ่ายคนละกี่ดอลลาร์	"- $12 for cake ingredients (วัตถุดิบเค้ก)
- $43 for birthday gift (ของขวัญวันเกิด)
- $15 for decorations (ของตกแต่ง)
- $4 for invitation cards (บัตรเชิญ)
- $22 for party favor bags (ถุงใส่ของชำร่วย)"
